Index,Country,GDP,CPI,Population,logGDP,logCPI,logPop,NGDP,NCPI,NPOP
150,Tunisia,42.1,5.3,1.14E+07,1.624282096,0.72427587,7.056904851,0.447982197,3.23E-02,0.57
151,Turkey,863.7,11.1,7.95E+07,2.93636292,1.045322979,7.900367129,0.7217337,6.31E-02,0.74
152,Uganda,24.1,5.2,4.15E+07,1.382017043,0.716003344,7.618048097,0.397436209,3.18E-02,0.68
153,Ukraine,93.3,14.4,4.50E+07,1.969881644,1.158362492,7.653212514,0.520087813,8.06E-02,0.69
154,United Arab Emirates,357,2,9.27E+06,2.552668216,0.301029996,6.967079734,0.641679941,1.48E-02,0.55
155,United Kingdom,2650.9,2.7,6.56E+07,3.423393345,0.431363764,7.816903839,0.823347342,1.85E-02,0.72
156,United States,18624.5,2.1,3.23E+08,4.270084622,0.322219295,8.509202522,1.000000338,1.54E-02,0.87
157,Uruguay,52.7,6.2,3.44E+06,1.721810615,0.792391689,6.536558443,0.46833047,3.71E-02,0.46
158,Vietnam,205.3,3.5,9.46E+07,2.312388949,0.544068044,7.975891136,0.591548266,2.28E-02,0.76
159,West Bank and Gaza,13.4,0.2,4.55E+06,1.127104798,-0.698970004,6.658011397,0.34425152,5.30E-03,0.48
160,Zambia,21,6.6,1.66E+07,1.322219295,0.819543936,7.220108088,0.384960054,3.92E-02,0.6
161,Zimbabwe,16.6,0.9,1.62E+07,1.220108088,-0.045757491,7.209515015,0.363655653,9.01E-03,0.6
