Index,Country,GDP,CPI,Population,CleanGDP,NGDP,CleanCPI,NCPI,abbr,logPop
127,Serbia,38.3,3.1,"7,060,000",38,0.002040356,3.9,0.020667727,SRB,22.75123675
128,Seychelles,1.4,2.9,"94,677",1.1,5.91E-05,3.7,0.019607843,SYC,16.53072637
129,Sierra Leone,3.6,18.2,"7,400,000",3.3,0.000177189,19,0.100688924,SLE,22.81909384
130,Singapore,309.8,0.6,"5,610,000",309.5,0.016618163,1.4,0.007419184,SGP,22.41956934
131,Slovak Republic,89.8,1.3,"5,430,000",89.5,0.004805576,2.1,0.011128776,SVK,22.37252077
132,Slovenia,44.7,1.4,"2,070,000",44.4,0.002383995,2.2,0.011658718,SVN,20.98119934
133,Solomon Islands,1.2,0.5,"599,419",0.9,4.83E-05,1.3,0.006889242,SLB,19.19320529
134,South Africa,295.8,5.2,"56,000,000",295.5,0.015866453,6,0.031796502,ZAF,25.73892349
135,South Sudan,2.9,187.9,"12,200,000",2.6,0.000139603,188.7,1,SSD,23.54037781
136,Spain,1237.3,2,"46,500,000",1237,0.06641896,2.8,0.014838368,ESP,25.47072738
137,Sri Lanka,81.8,7.7,"21,200,000",81.5,0.004376027,8.5,0.045045045,LKA,24.33756093
138,St. Kitts and Nevis,0.9,0.6,"54,821",0.6,3.22E-05,1.4,0.007419184,KNA,15.74244102
139,St. Lucia,1.7,0.1,"178,015",1.4,7.52E-05,0.9,0.004769475,LCA,17.44163929
140,St. Vincent and the Grenadines,0.8,2.2,"109,643",0.5,2.68E-05,3,0.015898251,VCT,16.74245418
141,Suriname,3.3,22,"558,368",3,0.000161081,22.8,0.120826709,SUR,19.09085674
142,Eswatini,3.7,6.2,"1,340,000",3.4,0.000182558,7,0.037095919,SWZ,20.35380157
143,Sweden,514.5,1.8,"9,920,000",514.2,0.02760924,2.6,0.013778484,SWE,23.24190869
144,Switzerland,668.7,0.5,"8,370,000",668.4,0.03588879,1.3,0.006889242,CHE,22.99679619
145,Tanzania,47.4,5.3,"55,600,000",47.1,0.002528968,6.1,0.032326444,TZA,25.72858155
146,Thailand,411.8,0.7,"68,900,000",411.5,0.022094909,1.5,0.007949126,THA,26.03800065
147,Timor-Leste,2.5,0.6,"1,270,000",2.2,0.000118126,1.4,0.007419184,TLS,20.27639707
148,Togo,4.4,-0.8,"7,610,000",4.1,0.000220144,0,0,TGO,22.85946502
149,Trinidad and Tobago,22.3,1.9,"1,360,000",22,0.001181259,2.7,0.014308426,TTO,20.37517522
150,Tunisia,42.1,5.3,"11,400,000",41.8,0.002244392,6.1,0.032326444,TUN,23.44253049
151,Turkey,863.7,11.1,"79,500,000",863.4,0.046359038,11.9,0.063063063,TUR,26.24445152
152,Uganda,24.1,5.2,"41,500,000",23.8,0.001277907,6,0.031796502,UGA,25.306608
153,Ukraine,93.3,14.4,"45,000,000",93,0.004993503,15.2,0.080551139,UKR,25.42342167
154,United Arab Emirates,357,2,"9,270,000",356.7,0.019152501,2.8,0.014838368,ARE,23.14413791
155,United Kingdom,2650.9,2.7,"65,600,000",2650.6,0.142320207,3.5,0.01854796,GBR,25.96719248
156,United States,18624.5,2.1,"323,000,000",18624.2,1,2.9,0.015368309,USA,28.26695892
157,Uruguay,52.7,6.2,"3,440,000",52.4,0.002813544,7,0.037095919,URY,21.71397713
158,Vietnam,205.3,3.5,"94,600,000",205,0.011007184,4.3,0.022787493,VNM,26.49533685
159,West Bank and Gaza,13.4,0.2,"4,550,000",13.1,0.000703386,1,0.005299417,PSE,22.11743511
160,Zambia,21,6.6,"16,600,000",20.7,0.001111457,7.4,0.039215686,ZMB,23.98467991
161,Zimbabwe,16.6,0.9,"16,200,000",16.3,0.000875205,1.7,0.009009009,ZWE,23.94949048
